training/avg_reward,training/avg_accuracy,iteration,training/entropy,training/approx_kl,training/grad_norm,training/ent_coef,training/Distillation_loss,test/accuracy_OD_under_T,x_axis/optimization_steps,x_axis/samples_seen,x_axis/samples_collected,x_axis/epochs,training/SPS,training/learning_rate,global_step,Test/Episode Reward Student on OD test,Test/Mean entropy Student on OD test,Test/Accuracy (under Student) on OD test,Test/Mean entropy Teacher (under Student) on OD test
,-0.056880831718444824,1,-0.7113994359970093,9.962291717529297,4.508086681365967,0.0,1.0927634239196777,0.617505419254303,4,1024,90,1,2,0.0003,90,-88.57452960503534,-0.7159143,-0.8902759327739476,13.795008
,0.30416518449783325,1,-0.720539391040802,9.695333480834961,0.9740352034568787,0.0,1.0528905391693115,,8,2048,180,2,4,0.0003,90,-88.57452960503534,-0.7159143,-0.8902759327739476,13.795008
,0.274194598197937,1,-0.7386043071746826,9.667267799377441,0.9522457122802734,0.0,1.04904043674469,,12,3072,270,3,7,0.0003,90,-88.57452960503534,-0.7159143,-0.8902759327739476,13.795008
,0.31682515144348145,1,-0.805573046207428,9.559971809387207,1.7004098892211914,0.0,1.034735083580017,,16,4096,360,4,9,0.0003,90,-88.57452960503534,-0.7159143,-0.8902759327739476,13.795008
,0.3672047257423401,1,-0.9779776930809021,8.75147819519043,4.913443565368652,0.0,0.9269307851791382,,20,5120,450,5,11,0.0003,90,-88.57452960503534,-0.7159143,-0.8902759327739476,13.795008
,0.5080607235431671,1,-1.2341617345809937,7.533930778503418,14.454997062683105,0.0,0.7722348570823669,,24,6144,540,6,13,0.0003,90,-88.57452960503534,-0.7159143,-0.8902759327739476,13.795008
,0.7339997887611389,1,-1.7359975576400757,6.3047285079956055,86.84163665771484,0.0,0.691617488861084,,28,7168,630,7,15,0.0003,90,-88.57452960503534,-0.7159143,-0.8902759327739476,13.795008
,0.8887994065880775,1,-2.0673820972442627,12.823003768920898,278.77069091796875,0.0,1.770208716392517,,32,8192,720,8,18,0.0003,90,-88.57452960503534,-0.7159143,-0.8902759327739476,13.795008
,0.8283283114433289,1,-2.0169131755828857,4.9719085693359375,126.57421875,0.0,0.6279285550117493,,36,9216,810,9,20,0.0003,90,-88.57452960503534,-0.7159143,-0.8902759327739476,13.795008
,0.8768381774425507,1,-1.7803746461868286,3.5682380199432373,34.2772216796875,0.0,0.3258635103702545,,40,10240,900,10,22,0.0003,90,-88.57452960503534,-0.7159143,-0.8902759327739476,13.795008
,0.8777982667088509,1,-1.9115010499954224,2.6881747245788574,41.74445724487305,0.0,0.25553032755851746,,44,11264,990,11,24,0.0003,90,-88.57452960503534,-0.7159143,-0.8902759327739476,13.795008
,0.9033772721886635,1,-2.1158182621002197,1.9450159072875977,74.48519134521484,0.0,0.27225032448768616,,48,12288,1080,12,26,0.0003,90,-88.57452960503534,-0.7159143,-0.8902759327739476,13.795008
,0.9112895578145981,1,-2.2086589336395264,1.337766170501709,91.11457061767578,0.0,0.25969213247299194,,52,13312,1170,13,27,0.0003,90,-88.57452960503534,-0.7159143,-0.8902759327739476,13.795008
,0.9266912639141083,1,-2.1269209384918213,1.1326037645339966,63.99243927001953,0.0,0.16367673873901367,,56,14336,1260,14,29,0.0003,90,-88.57452960503534,-0.7159143,-0.8902759327739476,13.795008
,0.9261508360505104,1,-2.0894479751586914,1.1966840028762817,55.50205612182617,0.0,0.14929422736167908,,60,15360,1350,15,31,0.0003,90,-88.57452960503534,-0.7159143,-0.8902759327739476,13.795008
,0.9190299659967422,1,-2.0469303131103516,1.076177716255188,38.079742431640625,0.0,0.10323496162891388,,64,16384,1440,16,33,0.0003,90,-88.57452960503534,-0.7159143,-0.8902759327739476,13.795008
,0.9230049476027489,1,-2.077512741088867,0.9369442462921143,41.05961608886719,0.0,0.10138298571109772,,68,17408,1530,17,34,0.0003,90,-88.57452960503534,-0.7159143,-0.8902759327739476,13.795008
,0.9268462583422661,1,-2.1240158081054688,0.6789873838424683,45.489898681640625,0.0,0.09353610128164291,,72,18432,1620,18,36,0.0003,90,-88.57452960503534,-0.7159143,-0.8902759327739476,13.795008
,0.928497351706028,1,-2.147481679916382,0.4677373468875885,41.379547119140625,0.0,0.07175900042057037,,76,19456,1710,19,38,0.0003,90,-88.57452960503534,-0.7159143,-0.8902759327739476,13.795008
-24.000781322604723,0.9299532696604729,1,-2.172034502029419,0.32859185338020325,45.1260871887207,0.0,0.06880096346139908,,80,20480,1800,20,39,0.0003,90,-88.57452960503534,-0.7159143,-0.8902759327739476,13.795008
,0.7053165435791016,1,-1.819946050643921,7.142551898956299,61.729103088378906,0.0,0.901099443435669,,84,21504,1890,21,41,0.0003,90,-88.57452960503534,-0.7159143,-0.8902759327739476,13.795008
,0.8347707539796829,1,-1.6060874462127686,4.426686763763428,19.110830307006836,0.0,0.42014673352241516,,88,22528,1980,22,43,0.0003,90,-88.57452960503534,-0.7159143,-0.8902759327739476,13.795008
,0.784774973988533,1,-1.526695966720581,5.145421504974365,20.28397560119629,0.0,0.5001079440116882,,92,23552,2070,23,44,0.0003,90,-88.57452960503534,-0.7159143,-0.8902759327739476,13.795008
,0.7867589145898819,1,-1.6466645002365112,4.172746658325195,15.831293106079102,0.0,0.3859189748764038,,96,24576,2160,24,46,0.0003,90,-88.57452960503534,-0.7159143,-0.8902759327739476,13.795008
,0.8061124235391617,25,-1.8606140613555908,3.2643518447875977,26.614038467407227,0.0,0.3131413757801056,0.6894088596105575,100,25600,2250,25,29,0.0003,2250,-96.10960250541766,-2.2693057,-2.0661211198568346,21.696705
,0.879361979663372,25,-1.9724452495574951,3.7359812259674072,50.05431365966797,0.0,0.41889116168022156,,104,26624,2340,26,30,0.0003,2250,-96.10960250541766,-2.2693057,-2.0661211198568346,21.696705
,0.8931711837649345,25,-2.222424268722534,1.7632814645767212,70.96984100341797,0.0,0.3022063374519348,,108,27648,2430,27,31,0.0003,2250,-96.10960250541766,-2.2693057,-2.0661211198568346,21.696705
,0.9127447009086609,25,-2.1806302070617676,1.2610058784484863,59.48297882080078,0.0,0.19515758752822876,,112,28672,2520,28,32,0.0003,2250,-96.10960250541766,-2.2693057,-2.0661211198568346,21.696705
,0.9339136108756065,25,-2.0786120891571045,1.3908171653747559,26.687318801879883,0.0,0.14664243161678314,,116,29696,2610,29,33,0.0003,2250,-96.10960250541766,-2.2693057,-2.0661211198568346,21.696705
,0.9287459030747414,25,-2.108642101287842,1.0720921754837036,27.029123306274414,0.0,0.12309335172176361,,120,30720,2700,30,34,0.0003,2250,-96.10960250541766,-2.2693057,-2.0661211198568346,21.696705
,0.9185806214809418,25,-2.1072709560394287,0.9738815426826477,27.4773006439209,0.0,0.1150495782494545,,124,31744,2790,31,35,0.0003,2250,-96.10960250541766,-2.2693057,-2.0661211198568346,21.696705
,0.936422549188137,25,-2.1718034744262695,0.4353974461555481,23.098909378051758,0.0,0.07133598625659943,,128,32768,2880,32,36,0.0003,2250,-96.10960250541766,-2.2693057,-2.0661211198568346,21.696705
,0.9447210878133774,25,-2.2079288959503174,0.21206608414649963,18.38001823425293,0.0,0.049922358244657516,,132,33792,2970,33,37,0.0003,2250,-96.10960250541766,-2.2693057,-2.0661211198568346,21.696705
,0.9420541971921921,25,-2.1891274452209473,0.2828628718852997,22.481264114379883,0.0,0.05111082270741463,,136,34816,3060,34,38,0.0003,2250,-96.10960250541766,-2.2693057,-2.0661211198568346,21.696705
,0.9485736787319183,25,-2.2056894302368164,0.25323352217674255,29.219051361083984,0.0,0.05741216242313385,,140,35840,3150,35,39,0.0003,2250,-96.10960250541766,-2.2693057,-2.0661211198568346,21.696705
,0.9443155080080032,25,-2.20219349861145,0.17006103694438934,17.76848793029785,0.0,0.031049786135554314,,144,36864,3240,36,39,0.0003,2250,-96.10960250541766,-2.2693057,-2.0661211198568346,21.696705
,0.9488398283720016,25,-2.2000977993011475,0.15997865796089172,18.447877883911133,0.0,0.030685685575008392,,148,37888,3330,37,40,0.0003,2250,-96.10960250541766,-2.2693057,-2.0661211198568346,21.696705
,0.9454601816833019,25,-2.2115490436553955,0.12399715930223465,20.096155166625977,0.0,0.0339699350297451,,152,38912,3420,38,41,0.0003,2250,-96.10960250541766,-2.2693057,-2.0661211198568346,21.696705
