training/avg_reward,x_axis/optimization_steps,x_axis/samples_seen,x_axis/samples_collected,x_axis/epochs,training/pg_loss,training/v_loss,training/entropy,training/approx_kl,training/clipfrac,training/grad_norm,training/ent_coef,training/PPD_loss,training/SPS,training/n_better_episodes,training/learning_rate,iteration,global_step,Test/Episode Reward Student on OD test,Test/Mean entropy Student on OD test
,33540.0,7727616.0,1931904.0,1677.0,0.03919050469994545,5.7652692794799805,-1.1056723594665527,0.0535694882273674,0.1,64.6167221069336,0.0,7.382765293121338,221.0,0.0,0.0003,1677,1931904,,
-72.5840946193004,33560.0,7732224.0,1933056.0,1678.0,-0.025812886655330658,493.2216796875,-1.1131665706634521,0.030304715037345886,0.0888671875,176.63710021972656,0.0,6.954345226287842,221.0,0.0,0.0003,1678,1933056,,
,33580.0,7736832.0,1934208.0,1679.0,0.006525151431560516,11.027809143066406,-0.9720203876495361,0.03435107693076134,0.1408203125,71.53369140625,0.0,7.578029155731201,221.0,0.0,0.0003,1679,1934208,,
-69.50023256254853,33600.0,7741440.0,1935360.0,1680.0,-0.007617058232426643,338.8565368652344,-1.1246144771575928,0.03248573839664459,0.08046875,1610.1566162109375,0.0,6.462012767791748,221.0,0.0,0.0003,1680,1935360,,
-70.01703126692314,33620.0,7746048.0,1936512.0,1681.0,-0.002665538340806961,675.2386474609375,-1.1265069246292114,0.033023472875356674,0.047265625,230.9294891357422,0.0,6.788818359375,222.0,0.0,0.0003,1681,1936512,,
,33640.0,7750656.0,1937664.0,1682.0,0.021466678008437157,9.170660018920898,-1.0106902122497559,0.04188006371259689,0.176171875,60.6706428527832,0.0,8.302386283874512,222.0,0.0,0.0003,1682,1937664,,
-72.44478143505464,33660.0,7755264.0,1938816.0,1683.0,0.019989678636193275,591.0443115234375,-1.1350188255310059,0.03665948659181595,0.087109375,335.0185852050781,0.0,6.8479766845703125,222.0,0.0,0.0003,1683,1938816,,
-72.0726897305884,33680.0,7759872.0,1939968.0,1684.0,-0.0133894681930542,576.5655517578125,-1.13954758644104,0.019268855452537537,0.0138671875,449.8987731933594,0.0,6.96343469619751,222.0,0.0,0.0003,1684,1939968,,
,33700.0,7764480.0,1941120.0,1685.0,-0.0034031756222248077,6.983761310577393,-1.1114224195480347,0.03596946597099304,0.1626953125,72.23908233642578,0.0,6.526981353759766,222.0,0.0,0.0003,1685,1941120,,
-67.14519117192796,33720.0,7769088.0,1942272.0,1686.0,0.00040140002965927124,604.9737548828125,-1.1468380689620972,0.043089937418699265,0.1017578125,299.20245361328125,0.0,7.032168388366699,222.0,0.0,0.0003,1686,1942272,,
-69.55312597989271,33740.0,7773696.0,1943424.0,1687.0,0.0102566909044981,492.4436340332031,-1.0181007385253906,0.022221574559807777,0.041796875,3205.507080078125,0.0,8.532392501831055,222.0,0.0,0.0003,1687,1943424,,
,33760.0,7778304.0,1944576.0,1688.0,-0.011505849659442902,10.078685760498047,-1.1848357915878296,0.05461641401052475,0.1052734375,120.64530181884766,0.0,6.57807731628418,222.0,0.0,0.0003,1688,1944576,,
-70.27884869918262,33780.0,7782912.0,1945728.0,1689.0,-0.00765625387430191,640.7616577148438,-1.1507078409194946,0.012549673207104206,0.0328125,1083.547119140625,0.0,7.0940399169921875,222.0,0.0,0.0003,1689,1945728,,
,33800.0,7787520.0,1946880.0,1690.0,0.020920298993587494,10.753768920898438,-0.9991176724433899,0.0440276600420475,0.1919921875,80.2780990600586,0.0,7.736144065856934,222.0,0.0,0.0003,1690,1946880,,
-69.41594975811613,33820.0,7792128.0,1948032.0,1691.0,-0.019095316529273987,431.8560791015625,-1.147498369216919,0.04442770406603813,0.18359375,542.8469848632812,0.0,7.040099620819092,222.0,0.0,0.0003,1691,1948032,,
-71.57047535572251,33840.0,7796736.0,1949184.0,1692.0,-0.01036859955638647,750.42724609375,-1.121575117111206,0.009195242077112198,0.0033203125,776.0023193359375,0.0,6.794127464294434,222.0,0.0,0.0003,1692,1949184,,
,33860.0,7801344.0,1950336.0,1693.0,0.0382842943072319,10.798766136169434,-0.9663668274879456,0.04547197371721268,0.1412109375,69.18547058105469,0.0,8.023258209228516,222.0,0.0,0.0003,1693,1950336,,
-71.49101167239138,33880.0,7805952.0,1951488.0,1694.0,0.003720652312040329,549.644287109375,-1.0978450775146484,0.040314339101314545,0.183203125,776.2407836914062,0.0,7.188433647155762,222.0,0.0,0.0003,1694,1951488,,
-71.23099698238056,33900.0,7810560.0,1952640.0,1695.0,0.01398877240717411,418.1015930175781,-1.0555920600891113,0.012560641393065453,0.0185546875,113.55729675292969,0.0,7.841769218444824,222.0,0.0,0.0003,1695,1952640,,
,33920.0,7815168.0,1953792.0,1696.0,0.04208996891975403,6.46359395980835,-1.0318775177001953,0.05457627773284912,0.146484375,64.38848114013672,0.0,7.118777275085449,222.0,0.0,0.0003,1696,1953792,,
-72.01197983289723,33940.0,7819776.0,1954944.0,1697.0,0.02497490495443344,698.457763671875,-1.0983920097351074,0.020498769357800484,0.0541015625,2519.451171875,0.0,6.888368606567383,222.0,0.0,0.0003,1697,1954944,,
,33960.0,7824384.0,1956096.0,1698.0,0.007651751860976219,11.33216667175293,-0.984000027179718,0.03337874636054039,0.1841796875,88.41798400878906,0.0,7.530485153198242,223.0,0.0,0.0003,1698,1956096,,
-69.91249059575269,33980.0,7828992.0,1957248.0,1699.0,0.021087851375341415,307.364501953125,-1.088559627532959,0.024629805237054825,0.1115234375,501.71954345703125,0.0,7.148777008056641,223.0,0.0,0.0003,1699,1957248,,
-74.84038952168147,34000.0,7833600.0,1958400.0,1700.0,-0.01323438249528408,482.253173828125,-1.1037216186523438,0.01273360662162304,0.0306640625,257.3800048828125,0.0,7.266841888427734,223.0,0.0,0.0003,1700,1958400,,
,,,,,,,,,,,,,,,,1700,1958400,-37.53153467874542,-1.0640769
,34020.0,7838208.0,1959552.0,1701.0,0.06315566599369049,10.865338325500488,-0.989549994468689,0.0682520866394043,0.219140625,91.77554321289062,0.0,8.404040336608887,222.0,0.0,0.0003,1701,1959552,,
-74.13709891119717,34040.0,7842816.0,1960704.0,1702.0,0.01035413146018982,361.6444091796875,-1.0914989709854126,0.022407546639442444,0.05390625,325.1282958984375,0.0,6.662328720092773,222.0,0.0,0.0003,1702,1960704,,
-70.92809803400286,34060.0,7847424.0,1961856.0,1703.0,0.012770459055900574,485.77935791015625,-1.0736373662948608,0.006613423582166433,0.0044921875,438.7838439941406,0.0,7.6297101974487305,222.0,0.0,0.0003,1703,1961856,,
,34080.0,7852032.0,1963008.0,1704.0,-0.010320521891117096,8.696683883666992,-0.999718189239502,0.016860799863934517,0.158203125,83.59371185302734,0.0,7.859615325927734,222.0,0.0,0.0003,1704,1963008,,
-74.11817891596154,34100.0,7856640.0,1964160.0,1705.0,0.023360729217529297,988.539794921875,-1.0844635963439941,0.040043413639068604,0.0869140625,272.07080078125,0.0,6.9387006759643555,222.0,0.0,0.0003,1705,1964160,,
-71.2077293495177,34120.0,7861248.0,1965312.0,1706.0,0.022597718983888626,557.102294921875,-1.0205554962158203,0.0108692217618227,0.0138671875,1121.5618896484375,0.0,7.379492282867432,222.0,0.0,0.0003,1706,1965312,,
,34140.0,7865856.0,1966464.0,1707.0,0.05503644421696663,6.249032974243164,-1.1086030006408691,0.0865846574306488,0.1796875,46.93430709838867,0.0,6.335796356201172,222.0,0.0,0.0003,1707,1966464,,
-69.66302530879312,34160.0,7870464.0,1967616.0,1708.0,-0.01797901652753353,602.9803466796875,-1.1408047676086426,0.019772969186306,0.0759765625,2391.29833984375,0.0,7.073248863220215,222.0,0.0,0.0003,1708,1967616,,
,34180.0,7875072.0,1968768.0,1709.0,-0.0021048784255981445,12.852714538574219,-0.9971155524253845,0.015231162309646606,0.07890625,56.74495315551758,0.0,8.628819465637207,222.0,0.0,0.0003,1709,1968768,,
-71.66907812698965,34200.0,7879680.0,1969920.0,1710.0,0.0284141693264246,629.5828857421875,-1.1510405540466309,0.03443530574440956,0.0984375,183.27584838867188,0.0,6.6639862060546875,222.0,0.0,0.0003,1710,1969920,,
-70.47564347197692,34220.0,7884288.0,1971072.0,1711.0,0.0009187813848257065,576.4617309570312,-1.1078975200653076,0.03143224120140076,0.06328125,2655.6025390625,0.0,6.395166873931885,222.0,0.0,0.0003,1711,1971072,,
,34240.0,7888896.0,1972224.0,1712.0,-0.009194530546665192,11.533296585083008,-0.9999017715454102,0.02880343422293663,0.0423828125,634.4752807617188,0.0,7.037457466125488,223.0,0.0,0.0003,1712,1972224,,
-69.72151284539834,34260.0,7893504.0,1973376.0,1713.0,6.955815479159355e-05,717.5692138671875,-1.0863797664642334,0.009571495465934277,0.01640625,982.657958984375,0.0,6.38811731338501,223.0,0.0,0.0003,1713,1973376,,
-70.26846627578362,34280.0,7898112.0,1974528.0,1714.0,-0.028631575405597687,553.801025390625,-1.1347434520721436,0.02601611614227295,0.0591796875,333.1158447265625,0.0,6.711399555206299,223.0,0.0,0.0003,1714,1974528,,
,34300.0,7902720.0,1975680.0,1715.0,0.0054521989077329636,8.695865631103516,-0.9985824823379517,0.037252068519592285,0.1173828125,82.66055297851562,0.0,7.967893600463867,223.0,0.0,0.0003,1715,1975680,,
-70.80782664611446,34320.0,7907328.0,1976832.0,1716.0,0.002561703324317932,658.2803955078125,-1.0725197792053223,0.03483594208955765,0.1267578125,231.06494140625,0.0,7.694543361663818,223.0,0.0,0.0003,1716,1976832,,
-71.83960336914804,34340.0,7911936.0,1977984.0,1717.0,0.0032583102583885193,426.98614501953125,-0.969575047492981,0.0170297734439373,0.0232421875,431.53448486328125,0.0,8.468183517456055,223.0,0.0,0.0003,1717,1977984,,
,34360.0,7916544.0,1979136.0,1718.0,0.10925652086734772,8.253393173217773,-1.153005599975586,0.1917715072631836,0.2841796875,155.45932006835938,0.0,6.500626564025879,223.0,0.0,0.0003,1718,1979136,,
-73.87036813244194,34380.0,7921152.0,1980288.0,1719.0,0.0029999837279319763,418.4792175292969,-1.1193180084228516,0.043931636959314346,0.053515625,191.57505798339844,0.0,7.256285190582275,223.0,0.0,0.0003,1719,1980288,,
,34400.0,7925760.0,1981440.0,1720.0,-0.026096532121300697,13.754325866699219,-1.0208542346954346,0.060486871749162674,0.2173828125,65.98114776611328,0.0,8.091007232666016,223.0,0.0,0.0003,1720,1981440,,
-73.76036295869584,34420.0,7930368.0,1982592.0,1721.0,0.031162463128566742,533.6017456054688,-1.0647861957550049,0.02622745931148529,0.0873046875,1458.7562255859375,0.0,7.463901519775391,223.0,0.0,0.0003,1721,1982592,,
-72.79778461224322,34440.0,7934976.0,1983744.0,1722.0,-0.016183841973543167,539.4613037109375,-1.1120576858520508,0.016316398978233337,0.0330078125,1522.1611328125,0.0,7.169724464416504,223.0,0.0,0.0003,1722,1983744,,
,34460.0,7939584.0,1984896.0,1723.0,0.003229137510061264,8.205656051635742,-0.9757542610168457,0.03734666854143143,0.126171875,58.88159942626953,0.0,7.591123104095459,223.0,0.0,0.0003,1723,1984896,,
-69.17761161737023,34480.0,7944192.0,1986048.0,1724.0,0.008789904415607452,613.775146484375,-1.05666983127594,0.0323350615799427,0.126953125,349.92364501953125,0.0,7.436171531677246,223.0,0.0,0.0003,1724,1986048,,
-72.4072621024094,34500.0,7948800.0,1987200.0,1725.0,-0.009684396907687187,456.95306396484375,-1.1004626750946045,0.008904913440346718,0.0048828125,314.9182434082031,0.0,7.264296054840088,223.0,0.0,0.0003,1725,1987200,,
,,,,,,,,,,,,,,,,1725,1987200,-37.53596152728544,-1.0730155
,34520.0,7953408.0,1988352.0,1726.0,0.0072447024285793304,6.185239791870117,-0.9843628406524658,0.051720742136240005,0.13125,51.96220397949219,0.0,7.396630764007568,223.0,0.0,0.0003,1726,1988352,,
-74.07102684317083,34540.0,7958016.0,1989504.0,1727.0,-0.028592444956302643,513.3426513671875,-1.0590770244598389,0.034212496131658554,0.086328125,3222.484375,0.0,7.017702579498291,223.0,0.0,0.0003,1727,1989504,,
,34560.0,7962624.0,1990656.0,1728.0,-0.028603138402104378,13.69818115234375,-0.9100732207298279,0.030957918614149094,0.193359375,94.05908203125,0.0,7.617871284484863,223.0,0.0,0.0003,1728,1990656,,
-73.85680244437798,34580.0,7967232.0,1991808.0,1729.0,-5.107372999191284e-05,107.64588165283203,-0.9791954755783081,0.049529239535331726,0.138671875,683.9085693359375,0.0,7.73825216293335,223.0,0.0,0.0003,1729,1991808,,
-74.56845256125295,34600.0,7971840.0,1992960.0,1730.0,0.009688690304756165,509.6332702636719,-1.0309009552001953,0.01708362251520157,0.0236328125,294.9909362792969,0.0,7.200826644897461,223.0,0.0,0.0003,1730,1992960,,
,34620.0,7976448.0,1994112.0,1731.0,0.0193803608417511,14.363969802856445,-0.9310643672943115,0.032513368874788284,0.1404296875,56.86946487426758,0.0,8.09217357635498,223.0,0.0,0.0003,1731,1994112,,
-76.68442803741216,34640.0,7981056.0,1995264.0,1732.0,-0.008233785629272461,642.6961669921875,-0.9862815141677856,0.014431659132242203,0.0376953125,2414.949462890625,0.0,7.610232353210449,223.0,0.0,0.0003,1732,1995264,,
-78.91056536443101,34660.0,7985664.0,1996416.0,1733.0,0.027361659333109856,588.3695678710938,-0.9871152639389038,0.026760848239064217,0.046875,570.2024536132812,0.0,7.534438133239746,223.0,0.0,0.0003,1733,1996416,,
,34680.0,7990272.0,1997568.0,1734.0,-0.017870184034109116,11.118946075439453,-0.8768640160560608,0.04394491761922836,0.115234375,65.50472259521484,0.0,8.259489059448242,223.0,0.0,0.0003,1734,1997568,,
-75.6845662497464,34700.0,7994880.0,1998720.0,1735.0,0.041904959827661514,355.71405029296875,-1.0540194511413574,0.029880356043577194,0.0568359375,180.0673370361328,0.0,7.946307182312012,223.0,0.0,0.0003,1735,1998720,,
-74.14229792218431,34720.0,7999488.0,1999872.0,1736.0,-0.019975412636995316,744.29638671875,-0.9678531885147095,0.01443566381931305,0.0212890625,664.7734375,0.0,7.585061073303223,223.0,0.0,0.0003,1736,1999872,,
,34740.0,8004096.0,2001024.0,1737.0,-0.01577107608318329,8.256061553955078,-0.9356039762496948,0.029528381302952766,0.083203125,102.43161010742188,0.0,8.182873725891113,223.0,0.0,0.0003,1737,2001024,,
-72.75097719001693,34760.0,8008704.0,2002176.0,1738.0,-0.009216275066137314,506.406005859375,-1.0617356300354004,0.01710585504770279,0.0697265625,147.42874145507812,0.0,6.935435771942139,223.0,0.0,0.0003,1738,2002176,,
,34780.0,8013312.0,2003328.0,1739.0,-0.004377156496047974,14.274949073791504,-0.951309084892273,0.03392285481095314,0.109375,70.26622009277344,0.0,8.11212158203125,223.0,0.0,0.0003,1739,2003328,,
-73.18643850206207,34800.0,8017920.0,2004480.0,1740.0,0.039795782417058945,236.05599975585938,-1.0549240112304688,0.039982326328754425,0.1048828125,536.7908935546875,0.0,7.01956844329834,223.0,0.0,0.0003,1740,2004480,,
-74.07400425072869,34820.0,8022528.0,2005632.0,1741.0,0.004492670297622681,799.179931640625,-1.0827603340148926,0.017705097794532776,0.0279296875,5106.61474609375,0.0,6.509669780731201,223.0,0.0,0.0003,1741,2005632,,
,34840.0,8027136.0,2006784.0,1742.0,-0.0071867480874061584,8.405261993408203,-0.9648370146751404,0.03986004739999771,0.1302734375,81.55148315429688,0.0,6.845983982086182,223.0,0.0,0.0003,1742,2006784,,
-73.25020079200654,34860.0,8031744.0,2007936.0,1743.0,0.017909836024045944,509.47393798828125,-0.9982403516769409,0.0377240926027298,0.077734375,447.8096008300781,0.0,7.871580123901367,223.0,0.0,0.0003,1743,2007936,,
-73.88043066964957,34880.0,8036352.0,2009088.0,1744.0,0.013386501930654049,767.704833984375,-1.0210537910461426,0.01906731352210045,0.0240234375,252.0136260986328,0.0,8.173398971557617,224.0,0.0,0.0003,1744,2009088,,
,34900.0,8040960.0,2010240.0,1745.0,0.0345221608877182,10.387551307678223,-0.9121428728103638,0.027133887633681297,0.1005859375,84.07819366455078,0.0,7.775263786315918,224.0,0.0,0.0003,1745,2010240,,
-74.88607429409555,34920.0,8045568.0,2011392.0,1746.0,0.011354278773069382,629.2034912109375,-1.0183064937591553,0.02340318262577057,0.0533203125,109.02539825439453,0.0,6.857809543609619,224.0,0.0,0.0003,1746,2011392,,
-74.12501936129576,34940.0,8050176.0,2012544.0,1747.0,-0.02708841860294342,651.44677734375,-0.9649720788002014,0.01690627820789814,0.018359375,433.92987060546875,0.0,7.614141464233398,224.0,0.0,0.0003,1747,2012544,,
,34960.0,8054784.0,2013696.0,1748.0,0.0028458572924137115,7.1516008377075195,-1.0795159339904785,0.0322628878057003,0.0953125,105.35688018798828,0.0,6.701048374176025,224.0,0.0,0.0003,1748,2013696,,
-74.11566951839906,34980.0,8059392.0,2014848.0,1749.0,-0.008879715576767921,728.7481689453125,-1.0725113153457642,0.012770027853548527,0.02734375,4705.07861328125,0.0,6.904438018798828,224.0,0.0,0.0003,1749,2014848,,
,35000.0,8064000.0,2016000.0,1750.0,-0.027203956618905067,13.971807479858398,-0.9708908796310425,0.04394925385713577,0.1513671875,50.70703125,0.0,7.582097053527832,224.0,0.0,0.0003,1750,2016000,,
,,,,,,,,,,,,,,,,1750,2016000,-37.612951658128246,-1.0750854
-73.5610267906729,35020.0,8068608.0,2017152.0,1751.0,0.009236026555299759,623.8265380859375,-1.1079676151275635,0.03319084271788597,0.082421875,340.8802185058594,0.0,6.209077835083008,223.0,0.0,0.0003,1751,2017152,,
-68.62336880364133,35040.0,8073216.0,2018304.0,1752.0,0.015427574515342712,578.1185302734375,-1.1839349269866943,0.02610965259373188,0.0345703125,276.7294616699219,0.0,5.9137492179870605,223.0,0.0,0.0003,1752,2018304,,
,35060.0,8077824.0,2019456.0,1753.0,0.006530299782752991,8.842605590820312,-1.0037074089050293,0.02315322309732437,0.0861328125,62.52876663208008,0.0,7.499040603637695,223.0,0.0,0.0003,1753,2019456,,
-72.07822685281513,35080.0,8082432.0,2020608.0,1754.0,0.01700206845998764,830.1801147460938,-1.1204826831817627,0.02985147200524807,0.0759765625,426.43853759765625,0.0,7.363869667053223,223.0,0.0,0.0003,1754,2020608,,
-71.9237860236044,35100.0,8087040.0,2021760.0,1755.0,-0.004848022945225239,956.0831298828125,-1.1278780698776245,0.007739595137536526,0.005859375,211.64064025878906,0.0,7.685554504394531,223.0,0.0,0.0003,1755,2021760,,
,35120.0,8091648.0,2022912.0,1756.0,-0.017346598207950592,5.087728977203369,-0.997787594795227,0.038318004459142685,0.0689453125,48.08150100708008,0.0,7.224597930908203,224.0,0.0,0.0003,1756,2022912,,
-70.95446190375868,35140.0,8096256.0,2024064.0,1757.0,0.02471277490258217,566.3355712890625,-1.0609726905822754,0.055124010890722275,0.1193359375,437.9852294921875,0.0,7.482261657714844,224.0,0.0,0.0003,1757,2024064,,
,35160.0,8100864.0,2025216.0,1758.0,0.018063578754663467,11.665431022644043,-0.9748053550720215,0.023650575429201126,0.121875,47.01500701904297,0.0,7.902752876281738,224.0,0.0,0.0003,1758,2025216,,
-71.94210423202716,35180.0,8105472.0,2026368.0,1759.0,0.012285040691494942,241.64048767089844,-1.0889902114868164,0.018361583352088928,0.1201171875,438.8489685058594,0.0,7.2161865234375,224.0,0.0,0.0003,1759,2026368,,
-70.74832089049305,35200.0,8110080.0,2027520.0,1760.0,-0.011176329106092453,757.707763671875,-1.0909655094146729,0.012620624154806137,0.028125,4861.48046875,0.0,7.078845977783203,224.0,0.0,0.0003,1760,2027520,,
,35220.0,8114688.0,2028672.0,1761.0,0.0046713510528206825,10.142864227294922,-1.0050941705703735,0.0374569334089756,0.078125,56.66286849975586,0.0,7.619206428527832,224.0,0.0,0.0003,1761,2028672,,
-71.53453923894317,35240.0,8119296.0,2029824.0,1762.0,-0.011372625827789307,258.2895202636719,-1.1357123851776123,0.01983683928847313,0.0765625,1406.57666015625,0.0,7.344132423400879,224.0,0.0,0.0003,1762,2029824,,
-72.34610214817238,35260.0,8123904.0,2030976.0,1763.0,0.0003660134971141815,625.10595703125,-1.102870225906372,0.009892377071082592,0.015234375,3744.946533203125,0.0,7.523931503295898,224.0,0.0,0.0003,1763,2030976,,
,35280.0,8128512.0,2032128.0,1764.0,-0.02791568450629711,8.73305892944336,-0.9824075102806091,0.03574239835143089,0.1095703125,79.96934509277344,0.0,7.635158538818359,224.0,0.0,0.0003,1764,2032128,,
-70.18012171119706,35300.0,8133120.0,2033280.0,1765.0,0.016001611948013306,777.1943359375,-1.1388232707977295,0.027326583862304688,0.075390625,252.66323852539062,0.0,6.329502105712891,224.0,0.0,0.0003,1765,2033280,,
-70.22262577025384,35320.0,8137728.0,2034432.0,1766.0,-0.006658993661403656,418.86737060546875,-1.1038177013397217,0.026873623952269554,0.0357421875,490.2176513671875,0.0,6.652223587036133,224.0,0.0,0.0003,1766,2034432,,
,35340.0,8142336.0,2035584.0,1767.0,0.08028441667556763,6.02008056640625,-1.069374680519104,0.03729474917054176,0.08828125,73.5240478515625,0.0,7.3919677734375,224.0,0.0,0.0003,1767,2035584,,
-69.32320154320551,35360.0,8146944.0,2036736.0,1768.0,0.023557525128126144,571.0458984375,-1.18110191822052,0.023642729967832565,0.084375,711.8728637695312,0.0,7.216363906860352,224.0,0.0,0.0003,1768,2036736,,
,35380.0,8151552.0,2037888.0,1769.0,0.04709738865494728,9.29255485534668,-1.0062079429626465,0.053426675498485565,0.134375,63.51559829711914,0.0,8.04157829284668,224.0,0.0,0.0003,1769,2037888,,
-68.90041275444625,35400.0,8156160.0,2039040.0,1770.0,-0.008393216878175735,473.525634765625,-1.121478796005249,0.018956324085593224,0.1779296875,490.27606201171875,0.0,6.588450908660889,224.0,0.0,0.0003,1770,2039040,,
-68.90688295609759,35420.0,8160768.0,2040192.0,1771.0,-0.03877317160367966,586.4388427734375,-1.144608736038208,0.029853489249944687,0.0537109375,195.60018920898438,0.0,6.862827777862549,224.0,0.0,0.0003,1771,2040192,,
,35440.0,8165376.0,2041344.0,1772.0,0.021440884098410606,8.552191734313965,-1.0529487133026123,0.05886910855770111,0.123046875,727.8010864257812,0.0,7.417872428894043,224.0,0.0,0.0003,1772,2041344,,
-70.81024690029837,35460.0,8169984.0,2042496.0,1773.0,0.007601115852594376,624.2650146484375,-1.1485846042633057,0.01860712096095085,0.03359375,3210.588134765625,0.0,6.736159801483154,224.0,0.0,0.0003,1773,2042496,,
-68.64996470485099,35480.0,8174592.0,2043648.0,1774.0,0.017679881304502487,729.3281860351562,-1.1349377632141113,0.035069312900304794,0.0326171875,3203.7255859375,0.0,6.972993850708008,224.0,0.0,0.0003,1774,2043648,,
,35500.0,8179200.0,2044800.0,1775.0,-0.02571110427379608,5.858283996582031,-1.0812939405441284,0.05181671679019928,0.1642578125,65.68534851074219,0.0,6.610520362854004,225.0,0.0,0.0003,1775,2044800,,
,,,,,,,,,,,,,,,,1775,2044800,-37.110715862998426,-1.1403139
-66.88354158044443,35520.0,8183808.0,2045952.0,1776.0,-0.028189215809106827,484.4603576660156,-1.200013279914856,0.019230958074331284,0.0833984375,225.62721252441406,0.0,6.425479412078857,224.0,0.0,0.0003,1776,2045952,,
-67.23726161856028,35540.0,8188416.0,2047104.0,1777.0,0.012966550886631012,689.60546875,-1.0855883359909058,0.004974065348505974,0.004296875,514.8643188476562,0.0,7.280967712402344,224.0,0.0,0.0003,1777,2047104,,
,35560.0,8193024.0,2048256.0,1778.0,0.03453356772661209,4.628251075744629,-1.201198935508728,0.043768007308244705,0.108203125,87.97488403320312,0.0,6.729165077209473,224.0,0.0,0.0003,1778,2048256,,
-65.63758603742842,35580.0,8197632.0,2049408.0,1779.0,0.04505850374698639,680.3004150390625,-1.127659559249878,0.09634323418140411,0.264453125,4092.964599609375,0.0,7.045534610748291,224.0,0.0,0.0003,1779,2049408,,
,35600.0,8202240.0,2050560.0,1780.0,0.03759417682886124,9.376441955566406,-1.0637924671173096,0.03683008998632431,0.173046875,104.89814758300781,0.0,8.03467845916748,224.0,0.0,0.0003,1780,2050560,,
-67.22540742794031,35620.0,8206848.0,2051712.0,1781.0,0.029719367623329163,489.32733154296875,-1.1744801998138428,0.05824850872159004,0.19609375,469.7224426269531,0.0,6.3780412673950195,224.0,0.0,0.0003,1781,2051712,,
-69.64270242044067,35640.0,8211456.0,2052864.0,1782.0,0.01501566544175148,519.5977783203125,-1.2240204811096191,0.02433018572628498,0.0384765625,137.76380920410156,0.0,6.3454909324646,224.0,0.0,0.0003,1782,2052864,,
,35660.0,8216064.0,2054016.0,1783.0,0.04053044319152832,8.767027854919434,-0.9962911009788513,0.07620199024677277,0.11484375,95.87385559082031,0.0,9.646376609802246,224.0,0.0,0.0003,1783,2054016,,
-70.9788121312926,35680.0,8220672.0,2055168.0,1784.0,0.0029027163982391357,531.9384765625,-1.151973009109497,0.026217885315418243,0.09296875,198.31597900390625,0.0,6.797314167022705,224.0,0.0,0.0003,1784,2055168,,
-70.92121007894833,35700.0,8225280.0,2056320.0,1785.0,-0.010440241545438766,478.4826354980469,-1.118221402168274,0.012465884909033775,0.021484375,79.8294448852539,0.0,6.499841690063477,224.0,0.0,0.0003,1785,2056320,,
,35720.0,8229888.0,2057472.0,1786.0,0.04257561266422272,5.323521614074707,-1.0701905488967896,0.03827935457229614,0.1271484375,56.53641128540039,0.0,6.956960678100586,224.0,0.0,0.0003,1786,2057472,,
-69.20457990429031,35740.0,8234496.0,2058624.0,1787.0,0.02901439368724823,731.60595703125,-1.1181697845458984,0.05353188514709473,0.0943359375,358.77386474609375,0.0,6.362106800079346,224.0,0.0,0.0003,1787,2058624,,
-69.31149667530593,35760.0,8239104.0,2059776.0,1788.0,0.02816905826330185,464.409912109375,-1.0487571954727173,0.009458628483116627,0.0033203125,472.8203430175781,0.0,6.841756820678711,224.0,0.0,0.0003,1788,2059776,,
,35780.0,8243712.0,2060928.0,1789.0,0.00042779557406902313,13.08816909790039,-1.1625386476516724,0.0413028821349144,0.093359375,77.85592651367188,0.0,6.570000171661377,225.0,0.0,0.0003,1789,2060928,,
-70.04991128793158,35800.0,8248320.0,2062080.0,1790.0,0.009277243167161942,567.7781372070312,-1.141977071762085,0.03176354244351387,0.05625,1233.6422119140625,0.0,7.082998752593994,225.0,0.0,0.0003,1790,2062080,,
,35820.0,8252928.0,2063232.0,1791.0,-0.017183877527713776,11.244841575622559,-0.9930980205535889,0.03349537402391434,0.25,91.92859649658203,0.0,7.787053108215332,225.0,0.0,0.0003,1791,2063232,,
-70.32468903031207,35840.0,8257536.0,2064384.0,1792.0,0.014388829469680786,562.2591552734375,-1.1152020692825317,0.03577911853790283,0.12734375,2400.494140625,0.0,7.279224395751953,225.0,0.0,0.0003,1792,2064384,,
-71.66047980535187,35860.0,8262144.0,2065536.0,1793.0,-0.008780743926763535,342.9864196777344,-1.1195615530014038,0.028446078300476074,0.066015625,280.8116760253906,0.0,6.572922706604004,225.0,0.0,0.0003,1793,2065536,,
,35880.0,8266752.0,2066688.0,1794.0,-0.0029015764594078064,10.40664005279541,-0.9873349666595459,0.029662927612662315,0.1404296875,77.71932983398438,0.0,7.49867057800293,225.0,0.0,0.0003,1794,2066688,,
-72.91370210020814,35900.0,8271360.0,2067840.0,1795.0,0.011971336789429188,570.2852783203125,-1.09995698928833,0.018385782837867737,0.03828125,180.70907592773438,0.0,7.198638916015625,225.0,0.0,0.0003,1795,2067840,,
-69.58869486477283,35920.0,8275968.0,2068992.0,1796.0,-0.0018013250082731247,622.8565673828125,-1.0728397369384766,0.0056327711790800095,0.01015625,237.82472229003906,0.0,7.374717712402344,225.0,0.0,0.0003,1796,2068992,,
,35940.0,8280576.0,2070144.0,1797.0,-0.010430872440338135,9.00883674621582,-1.070928931236267,0.05668618157505989,0.1939453125,104.90699005126953,0.0,7.578619003295898,225.0,0.0,0.0003,1797,2070144,,
