training/avg_reward,x_axis/optimization_steps,x_axis/samples_seen,x_axis/samples_collected,x_axis/epochs,training/pg_loss,training/v_loss,training/entropy,training/approx_kl,training/clipfrac,training/grad_norm,training/ent_coef,training/PPD_loss,training/SPS,training/n_better_episodes,training/learning_rate,iteration,global_step,Test/Episode Reward Student on OD test,Test/Mean entropy Student on OD test
,560.0,129024.0,32256.0,28.0,0.043690476566553116,37.582611083984375,-0.5433030128479004,0.07240240275859833,0.299609375,296.4157409667969,0.0,10.599737167358398,184.0,0.0,0.0003,28,32256,,
-111.0444799202823,580.0,133632.0,33408.0,29.0,0.02574160136282444,53.35236358642578,-0.5396560430526733,0.028374729678034782,0.226953125,980.8782348632812,0.0,9.496000289916992,188.0,0.0,0.0003,29,33408,,
-108.64303907887194,600.0,138240.0,34560.0,30.0,-0.004619896411895752,88.22921752929688,-0.5432149767875671,0.05665028840303421,0.1787109375,1330.6375732421875,0.0,9.876948356628418,192.0,0.0,0.0003,30,34560,,
,620.0,142848.0,35712.0,31.0,-0.0019476339221000671,36.999107360839844,-0.5469353199005127,0.05015187710523605,0.226171875,264.9834899902344,0.0,10.000738143920898,196.0,0.0,0.0003,31,35712,,
-110.54759850005104,640.0,147456.0,36864.0,32.0,0.0061677321791648865,117.81193542480469,-0.5401538610458374,0.0967283695936203,0.448828125,1856.925537109375,0.0,12.836989402770996,200.0,0.0,0.0003,32,36864,,
,660.0,152064.0,38016.0,33.0,-0.008270714432001114,38.964622497558594,-0.5297280550003052,0.07543297857046127,0.3123046875,249.03598022460938,0.0,10.254072189331055,202.0,0.0,0.0003,33,38016,,
-107.86759581287001,680.0,156672.0,39168.0,34.0,0.015050530433654785,88.26875305175781,-0.5214390158653259,0.11459441483020782,0.39765625,1081.7850341796875,0.0,10.755306243896484,203.0,0.0,0.0003,34,39168,,
-111.2316746040057,700.0,161280.0,40320.0,35.0,0.04847308248281479,81.65843200683594,-0.5365053415298462,0.04939458519220352,0.2369140625,1341.93701171875,0.0,11.867448806762695,204.0,0.0,0.0003,35,40320,,
,720.0,165888.0,41472.0,36.0,0.011617442592978477,32.71239471435547,-0.556222677230835,0.05137266218662262,0.23984375,1404.263427734375,0.0,9.894979476928711,205.0,0.0,0.0003,36,41472,,
-108.06133276273631,740.0,170496.0,42624.0,37.0,-0.013490516692399979,121.46781921386719,-0.5779055953025818,0.022662024945020676,0.1818359375,1772.37109375,0.0,9.268316268920898,208.0,0.0,0.0003,37,42624,,
-108.83830975651534,760.0,175104.0,43776.0,38.0,0.016240309923887253,93.10525512695312,-0.5799847841262817,0.03863873332738876,0.228125,983.2979125976562,0.0,10.623449325561523,211.0,0.0,0.0003,38,43776,,
,780.0,179712.0,44928.0,39.0,0.11463543772697449,42.1733283996582,-0.5841391682624817,0.10225245356559753,0.4162109375,2752.402099609375,0.0,9.674339294433594,214.0,0.0,0.0003,39,44928,,
-107.29872503793162,800.0,184320.0,46080.0,40.0,-0.0037690773606300354,85.45301818847656,-0.5780375003814697,0.02687804028391838,0.3818359375,1527.460205078125,0.0,9.682626724243164,217.0,0.0,0.0003,40,46080,,
,820.0,188928.0,47232.0,41.0,-0.02324552834033966,41.73756790161133,-0.6034882068634033,0.04901736229658127,0.24296875,247.50457763671875,0.0,9.750737190246582,220.0,0.0,0.0003,41,47232,,
-108.4879812638924,840.0,193536.0,48384.0,42.0,0.037174783647060394,35.339942932128906,-0.6272959113121033,0.043786585330963135,0.21953125,357.2056884765625,0.0,9.936057090759277,223.0,0.0,0.0003,42,48384,,
-110.22873253379976,860.0,198144.0,49536.0,43.0,-0.001696467399597168,180.99911499023438,-0.6380241513252258,0.03179853409528732,0.215234375,1815.67822265625,0.0,10.004523277282715,226.0,0.0,0.0003,43,49536,,
,880.0,202752.0,50688.0,44.0,0.00582682341337204,33.575584411621094,-0.6490434408187866,0.027407348155975342,0.323046875,245.0616455078125,0.0,9.998533248901367,229.0,0.0,0.0003,44,50688,,
-102.56907568941358,900.0,207360.0,51840.0,45.0,0.0376531183719635,146.08963012695312,-0.6703199744224548,0.04874425008893013,0.3908203125,2287.8212890625,0.0,9.594320297241211,231.0,0.0,0.0003,45,51840,,
-101.3323096076615,920.0,211968.0,52992.0,46.0,0.009027298539876938,196.70394897460938,-0.6675623655319214,0.03671226650476456,0.2689453125,3827.4853515625,0.0,9.497020721435547,234.0,0.0,0.0003,46,52992,,
,940.0,216576.0,54144.0,47.0,0.0036133266985416412,27.66696548461914,-0.68123859167099,0.0681280791759491,0.2501953125,267.0425720214844,0.0,9.451639175415039,237.0,0.0,0.0003,47,54144,,
-98.36112037218322,960.0,221184.0,55296.0,48.0,0.0868687778711319,199.50631713867188,-0.6800399422645569,0.0828234851360321,0.5318359375,1410.9599609375,0.0,8.70623779296875,238.0,0.0,0.0003,48,55296,,
-102.28241239701482,980.0,225792.0,56448.0,49.0,0.005486402660608292,261.0564880371094,-0.6819512844085693,0.02300659939646721,0.1279296875,1714.1759033203125,0.0,10.125753402709961,238.0,0.0,0.0003,49,56448,,
,1000.0,230400.0,57600.0,50.0,0.03930407389998436,27.452178955078125,-0.6936814785003662,0.08604685962200165,0.416015625,462.32427978515625,0.0,9.578627586364746,237.0,0.0,0.0003,50,57600,,
,,,,,,,,,,,,,,,,50,57600,-79.02568903220205,-0.8019849
-101.0578689728432,1020.0,235008.0,58752.0,51.0,0.03452654182910919,358.2807922363281,-0.6887291073799133,0.12477928400039673,0.5240234375,5485.9208984375,0.0,10.448789596557617,212.0,0.0,0.0003,51,58752,,
,1040.0,239616.0,59904.0,52.0,0.04793017357587814,32.96051025390625,-0.645922064781189,0.05923468619585037,0.2962890625,171.2545166015625,0.0,11.214639663696289,211.0,0.0,0.0003,52,59904,,
-104.29034820126954,1060.0,244224.0,61056.0,53.0,-0.0030657202005386353,119.90298461914062,-0.6402250528335571,0.02949410490691662,0.1923828125,1064.763427734375,0.0,9.882137298583984,210.0,0.0,0.0003,53,61056,,
-105.03254083321924,1080.0,248832.0,62208.0,54.0,-0.0010708756744861603,175.12904357910156,-0.6418291330337524,0.04233090579509735,0.1732421875,1887.296142578125,0.0,10.667661666870117,212.0,0.0,0.0003,54,62208,,
,1100.0,253440.0,63360.0,55.0,0.014455832540988922,29.744998931884766,-0.6806768774986267,0.03053572028875351,0.3052734375,88.25852966308594,0.0,9.542827606201172,214.0,0.0,0.0003,55,63360,,
-102.5084417977379,1120.0,258048.0,64512.0,56.0,0.023202229291200638,216.83505249023438,-0.6913066506385803,0.04048638045787811,0.343359375,3326.768310546875,0.0,9.79226303100586,216.0,0.0,0.0003,56,64512,,
