x_axis/optimization_steps,x_axis/samples_seen,x_axis/epochs,Training/Loss,Training/Accuracy,Training/learning_rate,Training/log_std_mean,Stats/epoch_time_seconds,Stats/samples_per_second,Test/Episode Reward Student on ID test,Test/Mean entropy Student on ID test,Test/Accuracy (under Student) on ID test,Test/Mean entropy Teacher (under Student) on ID test,Test/Mean loss Student vs Teacher on ID test,Test/Episode Reward Student on OD test,Test/Mean entropy Student on OD test,Test/Accuracy (under Student) on OD test,Test/Mean entropy Teacher (under Student) on OD test,Test/Mean loss Student vs Teacher on OD test,Test/Accuracy under Teacher ID,Test/Accuracy under Teacher OD,Generalization/ID_OD_reward_gap,Generalization/ID_OD_accuracy_gap,epoch,global_step
157,10000,1,17.204124450683594,0.8461050888891243,0.0002999981815164918,-2.638939380645752,6.370110750198364,1569.831419287114,-47.44710927268271,-2.671597480773926,0.23192173123359677,10.717794418334961,263.26409912109375,-48.45945294053635,-2.6736111640930176,0.2557561945915222,10.465741157531738,262.0817565917969,0.9791740601882338,0.9795925756916404,1.0123436678536422,-0.00041851550340654686,1,157
314,20000,2,12.934541702270508,0.9597481601652066,0.00029999272611020696,-2.906906843185425,4.7798943519592285,2092.0964489311577,,,,,,,,,,,,,,,2,314
471,30000,3,10.937524795532227,0.9764647282078672,0.00029998363391386197,-2.985551118850708,4.787303447723389,2088.858604681832,,,,,,,,,,,,,,,3,471
628,40000,4,9.666914939880371,0.9832546632013218,0.0002999709051486475,-3.1414361000061035,4.793054103851318,2086.3524139994147,,,,,,,,,,,,,,,4,628
785,50000,5,8.74538516998291,0.9872712645661916,0.0002999545401242232,-3.2077815532684326,6.3543860912323,1573.7161476224858,,,,,,,,,,,,,,,5,785
942,60000,6,7.887591361999512,0.9896871959731267,0.0002999345392387094,-3.5472919940948486,6.364213943481445,1571.2859575128698,,,,,,,,,,,,,,,6,942
1099,70000,7,6.736249923706055,0.9924712226797299,0.0002999109029786787,-3.5433361530303955,6.172660827636719,1620.0468937524024,-36.68671149668242,-3.3883056640625,0.5831859129481016,9.737626075744629,443.1780090332031,-38.022431596310696,-3.376349925994873,0.5818689858354629,9.93467903137207,445.5739440917969,0.9961092202691362,0.994565142178908,1.3357200996282756,0.0015440780902281626,7,1099
1256,80000,8,5.540822505950928,0.9943036984468389,0.00029988363191914296,-3.7021656036376953,4.757201194763184,2102.0763239965945,,,,,,,,,,,,,,,8,1256
1413,90000,9,5.155572414398193,0.9946468538222063,0.0002998527267235403,-3.879027843475342,6.090641975402832,1641.8630483264624,,,,,,,,,,,,,,,9,1413
1570,100000,10,4.640923500061035,0.9954113512771549,0.00029981818814371836,-3.728483200073242,6.191164970397949,1615.2049005015012,,,,,,,,,,,,,,,10,1570
1727,110000,11,4.142528057098389,0.9959268990791385,0.000299780017019915,-3.952469825744629,6.308179140090942,1585.2435033821557,,,,,,,,,,,,,,,11,1727
