x_axis/optimization_steps,x_axis/samples_seen,x_axis/epochs,Training/Loss,Training/Accuracy,Training/learning_rate,Training/log_std_mean,Stats/epoch_time_seconds,Stats/samples_per_second,Test/Episode Reward Student on ID test,Test/Mean entropy Student on ID test,Test/Accuracy (under Student) on ID test,Test/Mean entropy Teacher (under Student) on ID test,Test/Mean loss Student vs Teacher on ID test,Test/Episode Reward Student on OD test,Test/Mean entropy Student on OD test,Test/Accuracy (under Student) on OD test,Test/Mean entropy Teacher (under Student) on OD test,Test/Mean loss Student vs Teacher on OD test,Test/Accuracy under Teacher ID,Test/Accuracy under Teacher OD,Generalization/ID_OD_reward_gap,Generalization/ID_OD_accuracy_gap,epoch,global_step
782,50000,1,11.871662139892578,0.9517526623502355,0.0002999548869068551,-3.422804117202759,25.402374744415283,1968.3199111528936,-35.124927842736795,-3.3934836387634277,0.6424896281585097,10.284594535827637,435.9208984375,-36.47553187735018,-3.397047519683838,0.6753041988797486,10.294233322143555,401.01251220703125,0.9950212674448267,0.9938592727296054,1.350604034613383,0.0011619947152212706,1,782
1564,100000,2,5.7674880027771,0.9936830948230208,0.00029981957485405693,-3.9022912979125977,27.879339933395386,1793.4427471902693,-32.91026290041175,-3.8554186820983887,0.7566230710037053,9.749527931213379,728.25439453125,-34.68573639682596,-3.8360469341278076,0.7712352229561656,9.765164375305176,586.2533569335938,0.9983198740403167,0.9944359335117042,1.7754734964142074,0.0038839405286125173,2,1564
2346,150000,3,3.1013569831848145,0.996908686952987,0.00029959414550508815,-3.9494287967681885,30.76138687133789,1625.414361489267,-33.268095098998046,-3.923236131668091,0.7238964769709855,9.976934432983398,1001.9599609375,-36.04598550889112,-3.9136924743652344,0.6862571846693755,9.942377090454102,1012.1876831054688,0.999045860604383,0.9950006094528362,2.7778904098930752,0.004045251151546858,3,2346
3128,200000,4,2.202540159225464,0.9975974813940021,0.0002992787349109878,-3.974437952041626,31.193990230560303,1602.8728492392654,-36.39046052151073,-3.9633007049560547,0.6115282808500343,9.73609733581543,1570.46533203125,-37.49036343847972,-3.967707395553589,0.6229125853278674,9.8851900100708,1495.6953125,0.9993339404056314,0.9954991011414677,1.0999029169689862,0.0038348392641637252,4,3128
3910,250000,5,1.7591829299926758,0.9978809925510793,0.0002988735334282443,-3.9765398502349854,27.580304622650146,1812.8878808299246,,,,,,,,,,,,,,,5,3910
4692,300000,6,1.2615671157836914,0.9981428635045541,0.0002983787856039113,-3.9974215030670166,28.210718870162964,1772.3759621341108,-31.71335481112157,-3.9896883964538574,0.6908021429833024,9.860089302062988,1231.514404296875,-34.555385941294766,-3.9874355792999268,0.6606315646180881,9.827239036560059,1323.52392578125,0.9996162379917223,0.9957210738444701,2.842031130173197,0.003895164147252217,6,4692
5474,350000,7,1.0687109231948853,0.9982325482133674,0.00029779479002801804,-3.9608898162841797,31.038989067077637,1610.8772064691336,-33.63841811704443,-3.9903838634490967,0.6847841978783255,9.650100708007812,1230.5841064453125,-34.24335585080165,-3.9931087493896484,0.7303487755428069,9.669953346252441,1000.872802734375,0.9996529514610302,0.9960339268203825,0.6049377337572182,0.0036190246406476723,7,5474
6256,400000,8,0.8981565833091736,0.998318402367868,0.000297121899153364,-3.9992122650146484,30.030085563659668,1664.9969209713654,,,,,,,,,,,,,,,8,6256
7038,450000,9,0.8317840099334717,0.998339474271915,0.00029636051908280903,-3.986575126647949,31.447153568267822,1589.9690218848036,,,,,,,,,,,,,,,9,7038
7820,500000,10,0.65491783618927,0.99842236946275,0.00029551110932417925,-3.9982845783233643,31.09702754020691,1607.8707180405745,,,,,,,,,,,,,,,10,7820
8602,550000,11,0.603329598903656,0.9984472340320909,0.0002945741825129472,-3.9940664768218994,30.99970269203186,1612.9186946316088,,,,,,,,,,,,,,,11,8602
9384,600000,12,0.5237163305282593,0.9984774846645237,0.00029355030410284523,-3.9958107471466064,31.5209481716156,1586.2466994258966,,,,,,,,,,,,,,,12,9384
10166,650000,13,0.4669138193130493,0.9984943462241574,0.0002924400920246036,-4.0,31.270286560058594,1598.9620019621052,-30.365927891087374,-3.9921398162841797,0.7450868160367827,9.696272850036621,1060.3597412109375,-31.913103470152645,-3.9943175315856934,0.7637879617884755,9.639945030212402,945.5007934570312,0.9998171177299809,0.996576064848341,1.5471755790652715,0.0032410528816398942,13,10166
10948,700000,14,0.43420612812042236,0.9985069817542741,0.00029124421631301656,-4.0,26.372644901275635,1895.9038878038932,,,,,,,,,,,,,,,14,10948
11730,750000,15,0.3891311585903168,0.9985341423307545,0.0002899633987025656,-4.0,31.11033606529236,1607.1828955837454,,,,,,,,,,,,,,,15,11730
12512,800000,16,0.35343316197395325,0.9985496810587692,0.0002885984121918334,-4.0,31.297600030899048,1597.5665849981058,,,,,,,,,,,,,,,16,12512
13294,850000,17,0.33045002818107605,0.9985574975796163,0.00028715008057698737,-4.0,31.35936975479126,1594.4197983239353,,,,,,,,,,,,,,,17,13294
14076,900000,18,0.30527904629707336,0.9985644759137191,0.00028561927795460506,-4.0,31.329028606414795,1595.9639422003088,,,,,,,,,,,,,,,18,14076
14858,950000,19,0.29573383927345276,0.9985644353758794,0.0002840069281941341,-4.0,31.035159826278687,1611.075962871731,,,,,,,,,,,,,,,19,14858
15640,1000000,20,0.2769753634929657,0.9985784407903957,0.0002823140043803239,-3.9845032691955566,31.53598403930664,1585.4904016211988,-29.622438345103507,-3.9973883628845215,0.7878511714386696,9.785172462463379,818.2033081054688,-30.758293776946232,-3.9986979961395264,0.7981707240932155,9.798559188842773,768.8486938476562,0.9998984734138503,0.9967773221898824,1.1358554318427245,0.003121151223967944,20,15640
16422,1050000,21,0.26185593008995056,0.998577431283023,0.0002805415282259466,-4.0,31.570823669433594,1583.740751382716,,,,,,,,,,,,,,,21,16422
17204,1100000,22,0.24561671912670135,0.99858951348784,0.0002786905694551742,-3.9983391761779785,31.149661779403687,1605.1538650432556,,,,,,,,,,,,,,,22,17204
17986,1150000,23,0.23993539810180664,0.9985896717720365,0.00027676224515797693,-4.0,31.431140422821045,1590.7790594736664,,,,,,,,,,,,,,,23,17986
18768,1200000,24,0.2161303609609604,0.9985984691571744,0.00027475771911594354,-4.0,31.626643419265747,1580.9455128438292,,,,,,,,,,,,,,,24,18768
19550,1250000,25,0.21550635993480682,0.9985993436364697,0.0002726782010999106,-4.0,31.350971460342407,1594.8469113069682,,,,,,,,,,,,,,,25,19550
20332,1300000,26,0.20731928944587708,0.9986046358135819,0.00027052494613984346,-4.0,31.38837432861328,1592.9464672664037,-30.91873244332577,-3.9998481273651123,0.7326729206740856,9.67500114440918,1081.70263671875,-28.468128802449918,-3.999840259552002,0.8353991122415755,9.917767524719238,626.8986206054688,0.9999118160201761,0.9969367254059762,-2.450603640875851,0.002975090614199871,26,20332
21114,1350000,27,0.19556142389774323,0.9986118198735068,0.00026829925376740195,-4.0,28.82082986831665,1734.8563600858024,,,,,,,,,,,,,,,27,21114
21896,1400000,28,0.18711687624454498,0.9986134911979646,0.00026600246723164773,-4.0,31.141578912734985,1605.5704863298722,,,,,,,,,,,,,,,28,21896
22678,1450000,29,0.18180054426193237,0.9986182122563948,0.0002636359726883667,-4.0,31.25588846206665,1599.6985675413428,,,,,,,,,,,,,,,29,22678
23460,1500000,30,0.1723041534423828,0.9986212788899417,0.00026120119836349265,-4.0,31.324315786361694,1596.2040588854463,,,,,,,,,,,,,,,30,23460
24242,1550000,31,0.16458125412464142,0.9986244644338499,0.0002586996136911539,-4.0,31.204172372817993,1602.3498204860284,,,,,,,,,,,,,,,31,24242
25024,1600000,32,0.16024528443813324,0.9986174392620819,0.0002561327284268312,-4.0,30.990764379501343,1613.383890365486,-30.36711069747468,-3.9993889331817627,0.7771516071890073,9.750231742858887,951.4459838867188,-33.19049560185168,-3.9998538494110107,0.7087671282158408,9.789148330688477,1192.8173828125,0.9999411751956359,0.9969548306427896,2.8233849043770007,0.0029863445528462984,32,25024
25806,1650000,33,0.1494622528553009,0.9986244172792431,0.0002535020917361987,-3.999617099761963,27.00093150138855,1851.7879650718235,,,,,,,,,,,,,,,33,25806
26588,1700000,34,0.14294028282165527,0.9986258809196601,0.0002508092912601664,-4.0,31.536994457244873,1585.439603884437,,,,,,,,,,,,,,,34,26588
27370,1750000,35,0.14443236589431763,0.9986298744435139,0.00024805595215671064,-4.0,30.90663766860962,1617.7754609257477,,,,,,,,,,,,,,,35,27370
28152,1800000,36,0.14456824958324432,0.9986358133474867,0.00024524373612005637,-4.0,31.035641193389893,1611.0509748594857,,,,,,,,,,,,,,,36,28152
28934,1850000,37,0.12833735346794128,0.9986352441602272,0.00024237434037782129,-4.0,30.890345573425293,1618.6287032999262,,,,,,,,,,,,,,,37,28934
29716,1900000,38,0.1265224814414978,0.9986363945719715,0.00023944949666668416,-4.0,30.925740480422974,1616.776161969401,,,,,,,,,,,,,,,38,29716
30498,1950000,39,0.12381842732429504,0.9986277868300724,0.00023647097018727526,-4.0,30.551676273345947,1636.5714127319836,-27.51629861457751,-4.0,0.8374938663770445,9.876025199890137,629.6724243164062,-28.949369148185706,-3.9999804496765137,0.8041924481058957,9.925191879272461,736.5740356445312,0.9999393318925286,0.9971670789178461,1.4330705336081948,0.002772252974682532,39,30498
31280,2000000,40,0.12016349285840988,0.9986384812271452,0.0002334405585388253,-4.0,29.530804872512817,1693.147214099127,,,,,,,,,,,,,,,40,31280
32062,2050000,41,0.1134403720498085,0.9986351411555932,0.00023036009063428278,-4.0,30.953704833984375,1615.3155258204993,,,,,,,,,,,,,,,41,32062
32844,2100000,42,0.11103244870901108,0.9986425710279587,0.00022723142559653113,-4.0,31.09557271003723,1607.9459435027763,,,,,,,,,,,,,,,42,32844
33626,2150000,43,0.10589909553527832,0.9986423371415383,0.0002240564516363708,-4.0,31.282384634017944,1598.3436232552308,,,,,,,,,,,,,,,43,33626
34408,2200000,44,0.10132233798503876,0.9986422638013742,0.00022083708491294437,-4.0,31.004884719848633,1612.6491180917412,,,,,,,,,,,,,,,44,34408
35190,2250000,45,0.09998195618391037,0.9986452355320193,0.0002175752683773013,-4.0,31.323602437973022,1596.2404100553238,-24.345306742661315,-3.9999969005584717,0.9672786709680803,9.62889289855957,124.57018280029297,-28.372468782674588,-4.0,0.8469074074417586,9.662840843200684,610.0895385742188,0.9999645705764124,0.9969525065040216,4.027162040013273,0.003012064072390852,45,35190
35972,2300000,46,0.09390267729759216,0.9986507391433239,0.0002142729705997844,-4.0,28.767492532730103,1738.07292877934,,,,,,,,,,,,,,,46,35972
36754,2350000,47,0.0874686986207962,0.9986532799528299,0.00021093218458196215,-4.0,31.53402066230774,1585.5891177164235,,,,,,,,,,,,,,,47,36754
37536,2400000,48,0.09119176864624023,0.9986434584615104,0.00020755492655381226,-4.0,31.205192804336548,1602.2974225319178,,,,,,,,,,,,,,,48,37536
38318,2450000,49,0.09019577503204346,0.9986458729137965,0.0002041432347568864,-4.0,31.41557502746582,1591.5672387434035,,,,,,,,,,,,,,,49,38318
39100,2500000,50,0.08533730357885361,0.998651573077485,0.00020069916821419259,-4.0,31.160876274108887,1604.5761858611231,,,,,,,,,,,,,,,50,39100
39882,2550000,51,0.07551825791597366,0.9986569024604576,0.00019722480548753203,-4.0,31.04839253425598,1610.389328363281,,,,,,,,,,,,,,,51,39882
40664,2600000,52,0.07657526433467865,0.9986478644697105,0.00019372224342305026,-4.0,29.155765771865845,1714.926659489356,-27.260089016030673,-3.9997291564941406,0.8688318798594992,9.690171241760254,556.7804565429688,-27.654939820549124,-3.9998619556427,0.8892906250761007,9.692811965942383,469.3301696777344,0.9999749758153484,0.9970917591825128,0.3948508045184518,0.002883216632835639,52,40664
41446,2650000,53,0.07577420771121979,0.9986514668127753,0.00019019359588574595,-4.0,31.970723390579224,1563.9308310031372,,,,,,,,,,,,,,,53,41446
42228,2700000,54,0.06907385587692261,0.9986582668719973,0.000186640992483713,-4.0,31.53030562400818,1585.7759387504448,,,,,,,,,,,,,,,54,42228
43010,2750000,55,0.06983159482479095,0.9986596318578724,0.0001830665772828803,-4.0,31.87981867790222,1568.3903508101803,,,,,,,,,,,,,,,55,43010
43792,2800000,56,0.06941717118024826,0.9986561624282052,0.00017947250751302636,-4.0,31.37457585334778,1593.647041914188,,,,,,,,,,,,,,,56,43792
44574,2850000,57,0.0638202428817749,0.9986597475568381,0.0001758609522658462,-4.0,31.19081139564514,1603.0362072267537,,,,,,,,,,,,,,,57,44574
45356,2900000,58,0.06162339448928833,0.9986627727456372,0.000172234091185866,-4.0,30.171404361724854,1657.1982994410928,-26.709601274753094,-4.0,0.8911730985728354,9.627859115600586,481.2220458984375,-29.747394985884604,-4.0,0.7925934230592976,9.790033340454102,839.31689453125,0.9999811108790709,0.9971100769704208,3.03779371113151,0.002871033908650178,58,45356
46138,2950000,59,0.059780679643154144,0.9986641156892685,0.00016859411315498158,-4.0,31.591065883636475,1582.7259575277255,,,,,,,,,,,,,,,59,46138
46920,3000000,60,0.055130183696746826,0.9986648270671251,0.00016494321497142615,-4.0,31.159838438034058,1604.6296292399713,,,,,,,,,,,,,,,60,46920
47702,3050000,61,0.053220562636852264,0.9986600475768378,0.00016128360002396055,-4.0,31.073275566101074,1609.0997517669734,,,,,,,,,,,,,,,61,47702
48484,3100000,62,0.05079182982444763,0.9986690439598258,0.00015761747696208209,-4.0,31.16657829284668,1604.2826238476089,,,,,,,,,,,,,,,62,48484
49266,3150000,63,0.04816676676273346,0.9986676638935517,0.00015394705836306444,-4.0,31.337769746780396,1595.5187750761024,,,,,,,,,,,,,,,63,49266
50048,3200000,64,0.046589210629463196,0.9986682544160774,0.00015027455939662192,-4.0,30.865522861480713,1619.9304390335978,-25.053448657007486,-4.0,0.9323928904465356,9.762331008911133,243.51144409179688,-24.62874957917158,-4.0,0.9656474446975334,9.611092567443848,109.58541107177734,0.9999845319312953,0.9971630083862693,-0.424699077835907,0.0028215235450260723,64,50048
50830,3250000,65,0.04706458002328873,0.9986672795473246,0.0001466021964880109,-4.0,29.716142177581787,1682.587184473784,,,,,,,,,,,,,,,65,50830
51612,3300000,66,0.045082926750183105,0.9986673594728444,0.0001429321859803757,-4.0,31.34262180328369,1595.271777639279,,,,,,,,,,,,,,,66,51612
52394,3350000,67,0.04296043887734413,0.998667149618149,0.00013926674279713855,-4.0,31.216575622558594,1601.713160487328,,,,,,,,,,,,,,,67,52394
53176,3400000,68,0.04186641797423363,0.9986699856941283,0.000135608079105253,-4.0,31.292967081069946,1597.803106061058,,,,,,,,,,,,,,,68,53176
53958,3450000,69,0.03837756812572479,0.9986699054738485,0.0001319584029801158,-4.0,31.019490718841553,1611.8897777270565,,,,,,,,,,,,,,,69,53958
54740,3500000,70,0.0359358936548233,0.9986666721861114,0.00012831991707295114,-4.0,30.82895016670227,1621.8521788654352,,,,,,,,,,,,,,,70,54740
55522,3550000,71,0.03561251983046532,0.9986655933199191,0.00012469481728146585,-4.0,28.344632148742676,1764.002430429069,-26.312169154961133,-4.0,0.9019172388693552,9.755914688110352,413.2869873046875,-28.748866784226237,-4.0,0.8165263394291833,9.781182289123535,747.7351684570312,0.9999872648629207,0.9972459041047841,2.4366976292651046,0.0027413607581365795,71,55522
