/home/l.callisti/Distillation/distillation/lib/python3.10/site-packages/gymnasium/wrappers/rendering.py:283: UserWarning: [33mWARN: Overwriting existing videos at /home/l.callisti/Distillation_LunarLander/Final_pipeline/LunarLander/Teacher_files/videos/Teacher_lr_1.00e-04_ent_coef_1.00e-02_Anneal_ent folder (try specifying a different `video_folder` for the `RecordVideo` wrapper if this is not desired)[0m
  logger.warn(
SPS: 1902, Avg rew: 58.30, it: 74/610, n times average reward >= 200: 0/100
SPS: 1896, Avg rew: 38.91, it: 75/610, n times average reward >= 200: 0/100
SPS: 1893, Avg rew: 45.85, it: 76/610, n times average reward >= 200: 0/100
SPS: 1850, Avg rew: 84.08, it: 77/610, n times average reward >= 200: 0/100
SPS: 1851, Avg rew: 60.54, it: 78/610, n times average reward >= 200: 0/100
SPS: 1851, Avg rew: 16.82, it: 79/610, n times average reward >= 200: 0/100
SPS: 1851, Avg rew: 60.40, it: 80/610, n times average reward >= 200: 0/100
SPS: 1851, Avg rew: 71.14, it: 81/610, n times average reward >= 200: 0/100
SPS: 1852, Avg rew: 72.41, it: 82/610, n times average reward >= 200: 0/100
SPS: 1854, Avg rew: 69.60, it: 83/610, n times average reward >= 200: 0/100
SPS: 1856, Avg rew: 82.17, it: 84/610, n times average reward >= 200: 0/100
SPS: 1857, Avg rew: 72.92, it: 85/610, n times average reward >= 200: 0/100
SPS: 1859, Avg rew: 63.91, it: 86/610, n times average reward >= 200: 0/100
SPS: 1859, Avg rew: 55.43, it: 87/610, n times average reward >= 200: 0/100
SPS: 1858, Avg rew: 51.02, it: 88/610, n times average reward >= 200: 0/100
SPS: 1856, Avg rew: 71.39, it: 89/610, n times average reward >= 200: 0/100
SPS: 1854, Avg rew: 19.96, it: 90/610, n times average reward >= 200: 0/100
SPS: 1856, Avg rew: 93.63, it: 91/610, n times average reward >= 200: 0/100
SPS: 1856, Avg rew: 53.43, it: 92/610, n times average reward >= 200: 0/100
SPS: 1860, Avg rew: 62.41, it: 93/610, n times average reward >= 200: 0/100
SPS: 1858, Avg rew: 54.95, it: 94/610, n times average reward >= 200: 0/100
SPS: 1858, Avg rew: 39.68, it: 95/610, n times average reward >= 200: 0/100
SPS: 1860, Avg rew: 68.79, it: 96/610, n times average reward >= 200: 0/100
